type,value,n
expansion,Munchkin Zipper Pull,16
family,5x5 grid,16
family,Animals: Sharks,16
family,Country: Belgium,16
family,Country: India,16
family,Europa Series,16
family,Flowers,16
family,Operational Combat Series,16
family,Play Dough/Clay Games,16
family,SPI Quads,16
family,Samurai,16
family,Scrabble,16
family,Sports: Golf,16
family,TV Series: The Simpsons,16
family,Warhammer Fantasy Board Games,16
artist,Adrian Smith,15
artist,Chris White (I),15
artist,Christopher Kirkman,15
artist,Dave Aikins,15
artist,Eric Hotz,15
artist,Jean Baer,15
artist,Johann Rüttinger,15
artist,John Goodenough,15
artist,Mateusz Bielski,15
artist,Mathieu Leyssenne,15
artist,Richard Wright,15
artist,Sawshun Yamaguchi,15
artist,Tony Rochon,15
artist,William O'Connor,15
category,American Indian Wars,15
designer,Andrea Angiolino,15
designer,Andrew Parks,15
designer,Charles Chevallier,15
designer,Chris Cieslik,15
designer,Chris Handy,15
designer,Grant Wylie,15
designer,John Clowdus,15
designer,John Prados,15
designer,John Young,15
designer,Marvin Glass,15
designer,Phil Eklund,15
designer,Phil Kendall,15
designer,Phil Orbanes Sr.,15
designer,Philippe des Pallières,15
designer,Richard Launius,15
designer,Serge Laget,15
expansion,+6 Bag O' Munchkin Babes ,15
expansion,+6 Bag O' Munchkins,15
expansion,+8 Bag O' Munchkin Babes & Pawns,15
expansion,Fluxx Promo Cards,15
expansion,Munchkin Promotional Bookmarks,15
family,AEG: Big in Japan,15
family,AEG: Pocket Game,15
family,Anno Domini,15
family,Characters: Sherlock Holmes,15
family,Cities: Rome,15
family,Clix,15
family,Country: Scotland,15
family,Cyberpunk,15
family,Gigamic Classic,15
family,Kaiju,15
family,Tactical Combat Series,15
artist, III,14
artist,Antonis Papantoniou,14
artist,Barbara Spelger,14
artist,Beth Queman,14
artist,Damon S. Brown,14
artist,Doug Chaffee,14
artist,Doug Shuler,14
artist,Giorgio De Michele,14
artist,Ian Parovel,14
artist,James Holloway,14
artist,Jesper Ejsing,14
artist,John Howe,14
artist,Keith Parkinson,14
artist,Mariusz Gandzel,14
artist,Mike Raabe,14
artist,Noboru Sugiura,14
artist,Pedro Soto,14
artist,Ron Spencer,14
artist,Ryo Nyamo,14
artist,Stephen Crane,14
artist,Terry Leeds,14
artist,Tom Wham,14
artist,Édouard Guiton,14
category,Korean War,14
designer,Andy Chambers,14
designer,David Sirlin,14
designer,Gunter Baars,14
designer,Haim Shafir,14
designer,Joris Wiersinga,14
designer,Mike Wylie,14
designer,Peter Lee,14
designer,Robert G. Markham,14
designer,Rudi Hoffmann,14
designer,Steve Kendall,14
expansion,Munchkin Coins,14
expansion,Munchkin Dice,14
expansion,Munchkin Gazebo Shot Glass,14
expansion,Munchkin Patch,14
expansion,Munchkin Plutonium Dragon Shot Glass,14
expansion,Munchkin Sherpa,14
expansion,Munchkin Tavern Reusable Tote,14
expansion,Spellfire: Booster Pack,14
expansion,Zombie Shot Glass,14
family,Animals: Foxes,14
family,Avalanche Press WWII Battles Series,14
family,Bible Games,14
family,Country: Australia,14
family,Country: Soviet Union,14
family,Forgenext,14
family,HABA Mitbringspiele series,14
family,Harry Potter,14
family,Letter cube games,14
family,Magazine: Ares,14
family,Panzer Grenadier,14
family,Quarriors Pool Building system,14
family,Sports: Bicycle / Cycling,14
family,Yacht,14
family,Yahtzee,14
artist,Andrew Hepworth,13
artist,Christophe Camilotte,13
artist,Christophe Madura,13
artist,Christophe Swal,13
artist,Dale Sheaffer,13
artist,Dann May,13
artist,David Pentland,13
artist,Denis Loubet,13
artist,Hans-Jörg Brehm,13
artist,Jacoby O'Connor,13
artist,Jim Pavelec,13
artist,Joy Cohn,13
artist,Lee Brimmicombe-Wood,13
artist,Marco Primo,13
artist,Mariano Iannelli,13
